Name,Race,Rarity,Type,Cost,Att,Def,Text,Notes,
Red Panda Trio,Zen Valley,Epic,Unit,5,3,1,Death: Split into 3 Pandas,,
Senior Mammon,Zen Valley,Epic,Unit,5,2,9,"Turn End: If this Unit took any damage this turn, draw a card.",,
Courage Teacher,Zen Valley,Rare,Unit,5,1,5,"Debut: Give adjacent ally +X/+0
 (X equals the ally's Defense)",,
Muddling Performer,Zen Valley,Rare,Unit,5,2,5,"Debut: Draw a random card costing 6 mana or more from deck.
If there is none, restore 6 Health.",,
Roving Monk,Zen Valley,Rare,Unit,5,4,5,First Strike (Get priority to strike in battle phase).,,
Vigorous Ovis,Zen Valley,Rare,Unit,5,3,5,"Debut: Restore 5 Health
 If this unit gains Heritage, restore 5 Health.",,
Maze of the Huntsman,Zen Valley,Common,Spell,5,-,-,"Turn End: Return an enemy into owner's hand, summon a 4/1 Sika Huntsman.",,
Chateau Elder,Zen Valley,Common,Unit,5,3,3,"Vanguard debut: Give another ally +3/-1.
 Rearguard debut: Gain +3/-1.",,
"Taste House, Cook",Zen Valley,Common,Unit,5,3,3,Debut: Give all other allies +1/+0.,,
"Pigsy, Zen Hero",Zen Valley,Legendary,Unit,6,6,6,"Trample
 Rejuvenation
 Heritage 1",,
Tree of Knowledge,Zen Valley,Epic,Unit,6,2,12,Increase your Mana limit by 3. Turn end: Gain +0/+X (Where X is 2 times remaining mana). ,,
Hero of Liquor,Zen Valley,Epic,Unit,6,3,5,"Double strike
 Debut: Gain +1/+1 for every enemy in the opposing row.",,
Testudo Arhat,Zen Valley,Epic,Unit,6,4,4,"Armor 4
 If this Unit has Heritage,Gain Shroud.(Immune all effects.)",,
Plants Rise,Zen Valley,Rare,Spell,6,-,-,Summon two 1/6 Pinaster Hermits on target square and an adjacent square.,,
Swotting Student,Zen Valley,Rare,Unit,6,1,4,"Debut:Draw 3 cards.
 Death:Enemy Player draw a card.",,
Poplar Taoist,Zen Valley,Common,Unit,6,1,13,Turn end:When gets injured: all allies +0/+1,,
Reckless Tiger,Zen Valley,Common,Unit,6,5,3,Trample (Overflow attack that deals damage to enemies behind.),,
"Yiyun Sword-master Ren",Zen Valley,Legendary,Unit,7,6,3,,,
Moe!?,Zen Valley,Epic,Spell,7,-,-,Transform three random enemies into 0/2 Red Pandas.,,
Chief of Taste House,Zen Valley,Epic,Unit,7,1,8,"Turn start: Heal 2 health.
End at Debuting turn: Double your Health.",,
Pine Village Vanguard,Zen Valley,Rare,Unit,7,12,6,,,
Spruce Elder,Zen Valley,Rare,Unit,7,3,10,Turn start: Summon a 0/2 Red Panda on a random adjacent square.,,
Pine Village Protector,Zen Valley,Common,Unit,7,5,9,When gets Heritage: gain Rejuvenation,,
Vigorous Tiger,Zen Valley,Common,Unit,7,4,8,"Vanguard debut: 9 damage to 1st enemy in the opposing row.
 Rearguard debut: 2 damage to 4 random enemies.",,
Zen Hero of Ocean,Zen Valley,Rare,Unit,8,8,8,"Vanguard Debut: gain -0/-4 Trample
 Rearguard Debut: gain -2/-0 Rejuvenation",,
Droid-Basic,Recluse,Common,Unit,0,1,1,,Recluse,
Duplicate,Recluse,Epic,Spell,1,-,-,Copy target unit on the board to your hand.,,
Droid-Scout,Recluse,Rare,Unit,1,1,1,"Penetration
 Hexproof
 Hit player: Insight 1",,
Force of Warp,Recluse,Common,Spell,1,-,-,Give target Unit +2/-1.,,
Psionic Conspiracy,Recluse,Common,Spell,1,-,-,"Turn End:Insight 2, Enemy Player summon a 0/1 Psionic Bomb.",,
Silence,Recluse,Common,Spell,1,-,-,Deal 1 damage to target square and Silence the unit summoned there,,
Cursed Bat,Recluse,Common,Unit,1,1,1,Pre-strike: everytime using spell in this round gain +2/+0,,
Droid-Spring,Recluse,Common,Unit,1,3,4,"Defender (Can't Strike.)
 Charge: Strike normally in this turn.",,
Phantom Python,Recluse,Common,Unit,1,3,3,"Phantom (Pre-strike:If there is no enemy in the opposing row, destroy this unit.)",,
Seal of Knowledge,Recluse,Epic,Spell,2,-,-,"Give two random enemies -1/-0
 Add Seal of Knowledge into your hand.",,
Silent Summoner,Recluse,Epic,Unit,2,1,1,"Debut: Add Silence to your hand.
Death: Add Silence to your hand.",,
Magic-break Professor,Recluse,Epic,Unit,2,2,2,"Debut: Silence all enemies in opposing row.
 Deployment phase: Insight 1.",,
Behind Enemy Lines,Recluse,Rare,Spell,2,-,-,Turn End: Enemy Player summon two 0/1 Psionic Bombs.,,
Careful Arrangement,Recluse,Rare,Spell,2,-,-,In target row: summon two 1/1 Mass Droids,,
Sound of Silence,Recluse,Rare,Spell,2,-,-,"Silence target Unit, draw a card.",,
Droid-Circulation,Recluse,Rare,Unit,2,2,2,Charge: Gain -1/-1 and add Droid-Circulation to your hand. ,,
Blackwing Owl,Recluse,Rare,Unit,2,2,1,"Debut or Hit player: Insight 1, increase the cost of the card revealed by 1",,
Divination Professor,Recluse,Rare,Unit,2,2,2,"Debut: Insight 2
 Next Deployment phase: Insight 1",,
Forbidden Scarecrow,Recluse,Rare,Unit,2,0,6,Turn start: if the first enemy in target row just entered turn it into scilence,,
Mechanics Scholar,Recluse,Rare,Unit,2,1,1,"Debut: Insight 1,
 add Careful Arrangement to your hand",,
Recluse Owl,Recluse,Rare,Unit,2,2,1,"Debut or Hit player: Uproar 1, cost of the revealed card -1",,
Heavy Burden,Recluse,Common,Spell,2,-,-,Give Enemy on target area -3/-0 and silence,,
Planar Switch,Recluse,Common,Spell,2,-,-,"Give target Unit +1/+1 and
 Penetration.(Directly deal physical damage to Player.)",,
Cursed Cat,Recluse,Common,Unit,2,3,1,Pre-strike: everytime using spell in this round gain +1/+1,,
Droid-Plug-in,Recluse,Common,Unit,2,1,4,Charge:Gain +1/+0.,,
Magic-drug Apprentice,Recluse,Common,Unit,2,1,2,Debut:Deal 1 damage to a random enemy.,,
Mechanic Apprentice,Recluse,Common,Unit,2,2,2,Penetration (Deal physical damage directly to the Player.),,
Obstructing Guard,Recluse,Common,Unit,2,1,3,"Debut: Insight 1
 Increase the cost of the card revealed by 2.",,
Spellbreak Obelisk,Recluse,Common,Unit,2,0,4,"Defender(Can't attack)
 Reduce enemy Player's Mana limit by 1.",,
Wisdom Subassembly,Recluse,Common,Unit,2,0,1,Death: Draw a card.,,
SpellBlade No.5,Recluse,Legendary,Unit,3,1,3,"Shroud
First Strike
Double Strike
Turn end: Gain +1/+0 for every spell card played this turn. ",,
Dinin No.9,Recluse,Legendary,Unit,3,2,2,"Pre-Strike: Give 3 random Enemies -1/-0
 Charge:Switch position with random adjacent Ally.",,
Iron Spell Defender,Recluse,Epic,Unit,3,2,3,"Armor 1
Pre-strike: Gain +1/+0 and +1 armor for every spell card played this turn.",,
Guard Professor,Recluse,Epic,Unit,3,1,3,"Turn start: Give a random enemy -1/-0,
 give a random ally +0/+1.",,
Ask The Hermit,Recluse,Rare,Spell,3,-,-,"Draw 2 cards.If you've used Charge in this turn,draw 3 cards instead.",,
Scroll of Immensity,Recluse,Rare,Spell,3,-,-,"Draw a card, return Scroll of Immensity into your hand.",,
Augury Scholar,Recluse,Rare,Unit,3,1,3,"Turn end: Gain -1/-1, draw a card.",,
Droid-Infiltration,Recluse,Rare,Unit,3,4,1,Charge: Gain +1/+0 and Penetration this turn. (Trigger at the start of the battle if Charge is used.),,
Guard Apprentice,Recluse,Rare,Unit,3,3,2,"Debut: Insight 1,
 give all enemies in opposite rown -1/-0",,
Recluse Core,Recluse,Rare,Unit,3,0,2,"Defender,Invisibility
 Charge:Draw a card.",,
Labyrinthe,Recluse,Common,Spell,3,-,-,"Insight 1
 You draw two cards.",,
Mass Weakness,Recluse,Common,Spell,3,-,-,Give enemies in target row -2/-0,,
Recycled Plasma,Recluse,Common,Spell,3,-,-,"Deal 1 damage to Enemies in target Row,
 Add Recycle Plasma into your hand.",,
Droid-Element,Recluse,Common,Unit,3,2,3,Charge: Insight 1,,
Conjuration Scholar,Recluse,Common,Unit,3,1,4,Debut: Add Force of Warp to your hand.,,
Droid-Communication,Recluse,Common,Unit,3,3,2,Charge: Deal 1 damage to a random enemy.,,
Droid-Disturber,Recluse,Common,Unit,3,1,5,Charge: an enemy can't Strike in this turn.,,
Life Subassembly,Recluse,Common,Unit,3,0,3,Death: Restpre 5 Health.,,
Magic-drug Scholar,Recluse,Common,Unit,3,2,3,Debut: Give another random unit +2/-2.,,
Kidou-7,Recluse,Legendary,Unit,4,3,3,"Pre-Strike in Debut turn: Deal 2 damage to a random enemy.
 Death: Summon a 0/1 Kidou . Savin.",,
Inversion,Recluse,Epic,Spell,4,-,-,"Clone target enemy, and summon it on your fist",,
Droid-Fission,Recluse,Epic,Unit,4,4,4,Charge: Gain -1/-1 and summon a 2/3 Droid-Element on a random area. ,,
Conjuration Proctor,Recluse,Epic,Unit,4,2,2,Your Spells trigger twice.,,
Hoary Root,Recluse,Epic,Unit,4,1,1,Shroud(Immune all effects). Turn end: Double this Unit's Attack and Defence.,,
Mystery Tree,Recluse,Epic,Unit,4,0,7,Turn end: every time using spell in this round draw a card,,
Humble Research,Recluse,Rare,Spell,4,-,-,Turn end: Draw a card for every enemy on the board.,,
Lost Faith,Recluse,Rare,Spell,4,-,-,"Give target enemy -7/-0. If you've used Charge this turn, move that enemy to your hand instead.",,
Alloy Engineer,Recluse,Rare,Unit,4,2,4,Turn End: Disassemble into a 0/3 Life Subassembly and a 0/1 Wisdom Subassembly,,
Droid-Energy,Recluse,Rare,Unit,4,2,3,"Charge: No attack this turn, enemy is damaged equal to this unit's attack. Turn start: Not charged, gain +2/+0.",,
Droid-Incinerator,Recluse,Rare,Unit,4,2,5,"Charge: 1 damage to all units. (If Charge is used when Deploying, trigger this at the start of the Battle.)",,
Epic Scholar,Recluse,Rare,Unit,4,1,4,"Debut: Gain a random epic card from your deck
 if no epic card gain +1/+1",,
Pulp Fluid,Recluse,Rare,Unit,4,3,3,"Turn End: If this unit took any damage this turn, summon a copy of it on an adjacent square.",,
Citadel Gargoyle,Recluse,Common,Unit,4,3,5,"Debut: In this turn, this unit gains Armor 3 but can't attack.",,
Droid-Provision,Recluse,Common,Unit,4,2,5,"Charge: Sacrifice the unit, draw a card. (This will occur at the start of the battle if used when deploying)",,
Droid-Enhancement,Recluse,Common,Unit,4,3,4,"Charge: Gain +1/+1. (If Charge is used when deploying, trigger this at the start of the Battle.)",,
Support Guardian,Recluse,Common,Unit,4,1,7,Charge: Drain 1 attack point from random enemy unit,,
Meara No.2,Recluse,Legendary,Unit,5,2,2,"Return Spell card to your hand after it's been cast.
 Death: Return this unit to your hand.",,
Magic Storm Hydra,Recluse,Epic,Unit,5,3,6,"Trample
 Pre-strike: Gain +2/+1 for every spell you cast this turn.",,
Pioneering Thoughts,Recluse,Rare,Spell,5,-,-,"Insight 4
Draw cards until you are holding 4 cards.",,
Dreamy Sphinx,Recluse,Rare,Unit,5,5,5,"Debut:Draw a card.
 Death: Discard a card.",,
Droid-Destruction,Recluse,Rare,Unit,5,4,5,Charge: Gain -1/-0 deal 3 damage to a random enemy,,
Phantom Bear,Recluse,Rare,Unit,5,5,5,"Trample,Phantom",,
Conjuring Witch,Recluse,Common,Unit,5,2,3,Debut: Give an enemy -3/-0 and silence.,,
Droid-Luminosity,Recluse,Common,Unit,5,4,2,"Penetration, Charge:Gain +1/+1",,
Multiple Phantasms,Recluse,Epic,Spell,6,-,-,Summon three 3/3 Phantasm Pythons in target Lin.,,
Illusion Professor,Recluse,Epic,Unit,6,1,2,Turn start: Summon a 5/5 Phantasm Bear in front of this Unit.,,
Phantom Dragon,Recluse,Epic,Unit,6,9,9,"Phantom,Shroud",,
Obsidian Gargoyle,Recluse,Rare,Unit,6,4,7,"Reduce enemy player's Mana limit by 2.
 Debut: In this turn, this unit gains Armor 4, but it can't attack.",,
Droid-Manufacturing,Recluse,Common,Unit,6,2,6,Turn end: Add Mass Droid to your hand.,,
Handsome Student,Recluse,Common,Unit,6,4,6,"Turn End: If this unit took 1 damage or more,you have 33% chance to draw a card.",,
Frigate-Pangu,Recluse,Epic,Unit,7,2,18,"Penetration,
 Rejuvenation
 Charge: Gain +1/-2.",,
Sagacious Sphinx,Recluse,Epic,Unit,7,4,9,Turn end: Copy a random card in enemy Player's hand to your hand.,,
Mystery Pumpkin Tree,Recluse,Rare,Unit,7,2,7,Whenever an enemy dies: 50% draw Pumpkin.Whenever ally dies:50% draw Pumpkin,,
Giant Gargoyle,Recluse,Common,Unit,7,7,5,"Debut: In this turn, this unit gains Armor 3 but can't attack.",,
Ulviirala No.6,Recluse,Legendary,Unit,8,3,2,Turn start:Summon three 3/3 Phantasm Pythons in front Line.,,
Destroyer-Tianwei,Recluse,Epic,Unit,8,6,6,"Penetration
 Charge: Double this unit's Attack and Defence, but it can't attack this turn.",,
Mind Control,Recluse,Rare,Spell,8,-,-,Manipulate target enemy.,,
Enchanted Steel,Recluse,Rare,Unit,8,8,8,"Armor 2
 Charge: Increase Armor value by 1.",,
Istorvir No.3,Recluse,Legendary,Unit,9,3,4,Pre-strike: Manipulate a random enemy,,
Iron Wing Arbiter,Recluse,Epic,Unit,9,7,3,"Debut: Destroy a random enemy.
 Charge: Destroy a random enemy.",,
Magic Matchstick,Paradise Harbor,Common,Spell,0,-,-,"Insight 1
 Give +1/+2 to target ally",Paradise Harbor,
Dire Puppy,Paradise Harbor,Common,Unit,0,0,1,Turn end: Gain +1/+0,,
King's Message,Paradise Harbor,Epic,Spell,1,-,-,"-2 HP. Draw 1 Legendary card from your deck.
 If there's noe, draw another card instead.",,
Mind Collapser,Paradise Harbor,Rare,Spell,1,-,-,"Destroy Enemy on target area, you take health damage equal to the Enemy's cost.",,
Matchstick Girl,Paradise Harbor,Rare,Unit,1,1,2,Turn end: Gain -1/-1 and get Magic Matchstick,,
Prized Beast,Paradise Harbor,Rare,Unit,1,4,5,Pre-strike: This unit can't attack unless there are no enemy units on the board.,,
Happy Messenger,Paradise Harbor,Common,Unit,1,2,2,"Debut: Insight 1
 Turn end: Return this unit to owner's hand",,
Supply Barrel,Paradise Harbor,Common,Unit,1,0,2,"Defender
 Death: Restore 2 Health.",,
"Soar, Fleuret Gent",Paradise Harbor,Legendary,Unit,2,1,1,"Synergy 2, First strike, Rejuvenation",,
Leira's Secret Scroll,Paradise Harbor,Epic,Spell,2,-,-,Add three Leira's Fire Missile cards into your hand,,
Seal of Paradise,Paradise Harbor,Epic,Spell,2,-,-,"Deal 2 damage to Enemy Player.
 Add Seal of Paradise into your hand.",,
Devil Hunter of Red Sea,Paradise Harbor,Epic,Unit,2,2,1,"First Strike
Pre-strike: Deal X damage to a random enemy and gain +X/+0 (Where X is how many spell cards you played this turn).",,
Beast Smuggler,Paradise Harbor,Epic,Unit,2,1,1,Debut: Summon a 4/5 Prized-Beast.,,
Petrel's Bodyguard,Paradise Harbor,Epic,Unit,2,2,2,"Turn start: If there are more allies than enemies on the board, deal 1 damage to a random enemy.",,
Chain Lightning,Paradise Harbor,Rare,Spell,2,-,-,Deal 3 damage to target enemy and random adjacent enemy.,,
Night Ambush,Paradise Harbor,Rare,Spell,2,-,-,Deal 5 damage to an enemy.,,
Allopatric Viper,Paradise Harbor,Rare,Unit,2,1,1,Poisonous (Destroy any unit physically damaged by this unit.),,
Darkwater Swiftblade,Paradise Harbor,Rare,Unit,2,2,2,"First strike
Debut: Insight 1",,
Desperado,Paradise Harbor,Rare,Unit,2,4,1,Deployment phase: Uproar 1,,
Night Marksman,Paradise Harbor,Rare,Unit,2,2,2,When this unit attacks the enemy: Deal 1 damage to a random enemy,,
Pot of Souls,Paradise Harbor,Rare,Unit,2,0,3,"Defender:whenever ally dies: your health -1, draw a card",,
Angry Pumpkin,Paradise Harbor,Common,Spell,2,-,-,Random enemy unit -2/-2.,,
Cursed Iceshield,Paradise Harbor,Common,Spell,2,-,-,Give target Unit -1/-1 and armor 3.,,
Durable Trap,Paradise Harbor,Common,Spell,2,-,-,"Cast on unoccupied area, enemy entering area takes 3 damage, then add Durable Trap to your hand.",,
Leira's Fire Missle,Paradise Harbor,Common,Spell,2,-,-,"Deal 3 damage to first target row enemy. If no enemy's in the row, that player takes the damage.",,
Lucky Pumpkin,Paradise Harbor,Common,Spell,2,-,-,Give random ally +2/+2.,,
Outland Letter,Paradise Harbor,Common,Spell,2,-,-,"Discard 1 card from your hand, draw 2 cards.",,
Overdraft,Paradise Harbor,Common,Spell,2,-,-,"Give +3/+3 to target ally, Deal 3 damage to your Health.",,
Volley of Arrows,Paradise Harbor,Common,Spell,2,-,-,Deal 2 damage to Enemies in target Row.,,
Crafty Trainee,Paradise Harbor,Common,Unit,2,2,1,"Debut: If the first unit in the opposing row just entered the board, return it to its owner's hand.",,
Exploding Barrel,Paradise Harbor,Common,Unit,2,0,2,"Defender
Death: Deal 3 damage to a random unit in the row.",,
Little Witch,Paradise Harbor,Common,Unit,2,1,2,"Pre-strike: Every time using spell card in this round, a random enemy -1/-1",,
Sea Explorer,Paradise Harbor,Common,Unit,2,1,2,"Debut: Insight 1
 If there's no enemy inthe opposing row, gain +2/-1",,
Seaman,Paradise Harbor,Common,Unit,2,2,2,,,
"Eisele, Bloody Soul",Paradise Harbor,Legendary,Unit,3,5,1,Turn start: Move to a square with no enemies in the opposing row. (Stay in the same column),,
"Marsa, Blackgold Rose",Paradise Harbor,Legendary,Unit,3,2,1,"Double strike
 Invisibility",,
"Powley, Petrel",Paradise Harbor,Legendary,Unit,3,1,1,"Debut: Summon a 2/2 Seaman.
Pre-Strike: Deal 1 damage to a random enemy.
Turn end: Return this unit to your hand. ",,
Sea Storm,Paradise Harbor,Epic,Spell,3,-,-,Deal 2 damage to all units.,,
Kiko,Paradise Harbor,Epic,Unit,3,1,2,"Decrease opponent's Mana by 1. 
Turn end: If this unit took any damage, transform it into a 5/10 Mad Kiko.",,
Blackgold Augur,Paradise Harbor,Epic,Unit,3,2,2,"Pre-strike: Insight 1, if there are more allies than enemeis, draw a card. ",,
Deadwind Ranger,Paradise Harbor,Epic,Unit,3,4,3,"Debut: Insight 1,
if there is no enemy in the opposite row gain -1/-1 and Double Strike.",,
Space of Happiness,Paradise Harbor,Epic,Unit,3,1,5,When you restore Health:Draw a card.,,
Thundercloud Summoner,Paradise Harbor,Epic,Unit,3,3,3,Turn end: Deal X damage to random enemy area (X equals to remaining Mana),,
Magic Storm,Paradise Harbor,Rare,Spell,3,-,-,Deal 3 damage to the enemies in taget row.,,
Mindstorm,Paradise Harbor,Rare,Spell,3,-,-,"Return Enemy on target area to owner's hand, then Enemy Player discard a card.",,
Sell Your Faith,Paradise Harbor,Rare,Spell,3,-,-,"Draw 3 cards, Deal 2 damage to your Health.",,
Stowaway Monster,Paradise Harbor,Rare,Spell,3,-,-,"Turn end: If opponent has no unit on board, summon a 8/8 Hesitated Giant, Insight 2
If opponent does have a unit, draw 2 cards.",,
Passionate Shaman,Paradise Harbor,Rare,Unit,3,2,3,Pre-strike: Give all allies +1/+0 for every spell card played this turn. ,,
Exotic Hermit,Paradise Harbor,Rare,Unit,3,2,3,"Gain Heritage:Draw a card.
 Death:If this Unit has Heritage.draw a card.",,
Festival Girl,Paradise Harbor,Rare,Unit,3,1,1,"Debut: Give another ally +2/+1
 Turn end: Return this unit to owner's hand",,
Firetrick Sorcerer,Paradise Harbor,Rare,Unit,3,1,1,Turn start: Deal 2 damage to both you and a random enemy.,,
Navigator,Paradise Harbor,Rare,Unit,3,2,2,"Increase your Mana limit by 1.
Reduce enemy Player's Mana limit by 1.",,
Petrel's Mortar,Paradise Harbor,Rare,Unit,3,0,3,"Defender
Synergy 2.
Turn start: X Crash damage to an enemy area in the opposite row.(X=its attack.)",,
Psionic Engineer,Paradise Harbor,Rare,Unit,3,1,3,"Turn End: enemy player summon a 0/1 Psionic Bomb.
 Debut: If there are any Recluse allies on the board, gain +0/+3.",,
Assassination,Paradise Harbor,Common,Spell,3,-,-,"Insight 2
 Deal 6 damage to an enemy on target square",,
Captain's Greed,Paradise Harbor,Common,Spell,3,-,-,Target ally absorbs 1 Attack from every enemy on the board.,,
Pillage,Paradise Harbor,Common,Spell,3,-,-,Drain 4 Health from Enemy Player.,,
Poisoning,Paradise Harbor,Common,Spell,3,-,-,"Deal 1 damage to Enemies in target Row.
 Draw a card.",,
Black Fleet Crew,Paradise Harbor,Common,Unit,3,2,4,Turn end: If your Health is higher than opponent's gain +1/+0,,
Camel,Paradise Harbor,Common,Unit,3,1,4,Increase your Mana limit by 1.,,
Chuckle Snowman,Paradise Harbor,Common,Unit,3,4,5,Turn end: If doesn't freeze your random area gain -2/-2,,
Elderly Hatchetman,Paradise Harbor,Common,Unit,3,2,3,"Debut: Insight 1
 If there are more allies than enemies, gain +2/-1",,
Elderly Predictor,Paradise Harbor,Common,Unit,3,1,2,Turn end: 50% chance to draw a card.,,
Greedy Old Witch,Paradise Harbor,Common,Unit,3,1,4,"Turn end: Every time you use a spell card in this turn, drain 2 health from the opponent",,
Noisy Pirate,Paradise Harbor,Common,Unit,3,3,1,Rejuvenation (When this unit attacks the enemy: Restore your health equal to the damage it dealt.),,
Passionate Miner,Paradise Harbor,Common,Unit,3,2,2,Turn end: enemy Player takes damage equal to this unit's Attack.,,
Slave Gorilla,Paradise Harbor,Common,Unit,3,5,4,Pre-strike: Can't attack unless there are more allies than enemies on the board.,,
Sottish Drunk,Paradise Harbor,Common,Unit,3,1,3,Debut: Deal 2 damage to the last enemy in the opposing row.,,
Sottish Thug,Paradise Harbor,Common,Unit,3,1,5,Turn end: Gain +2/-1,,
"Benny, Silver Tongue",Paradise Harbor,Legendary,Unit,4,1,1,When this unit attacks the enemy: Move this unit and a random enemy to your hand,,
"Mekki, Illusionist",Paradise Harbor,Legendary,Unit,4,1,4,"Hit player: Draw a card,
 Your opponent discard a card.",,
Passionate Engineer,Paradise Harbor,Epic,Unit,4,3,5,When you restore health: Add Loam Wall to your hand. ,,
Alchemist,Paradise Harbor,Epic,Unit,4,2,3,"Pre-strike: Give a random enemy -1/-1, If there's no enemy deployed, give a random",,
Genie's Lamp,Paradise Harbor,Epic,Unit,4,5,6,Turn end: Return this unit to your hand.,,
Prison Breaker,Paradise Harbor,Epic,Unit,4,6,6,Turn end: Enemy Player summons a 1/1 Village Militias,,
Petrel's Command,Paradise Harbor,Rare,Spell,4,-,-,Turn end: Summon a 2/2 Seaman for each Enemy on board.,,
Black Fleet Axeman,Paradise Harbor,Rare,Unit,4,3,4,Pre-strike: if your health is higher than opponent's deal 3 damage to random area in opposite row,,
Dojo Gatekeeper,Paradise Harbor,Rare,Unit,4,3,4,"Pre-strike: If there are more allies than enemies deployed, gain +1/+1.",,
Gift Tree,Paradise Harbor,Rare,Unit,4,0,6,"Defender, Turn end: you have 33% chance to draw a card, 33% chance to restore 5 healthc 33% chance to give ally +1/+1",,
Greedy Captain,Paradise Harbor,Rare,Unit,4,2,4,Debut: Absort 1 Attack from every enemy in the opposing row.,,
Mentor of Light,Paradise Harbor,Rare,Unit,4,1,3,Turn start: Give a random Empirte ally +2/+2.,,
Sexy Witch,Paradise Harbor,Rare,Unit,4,3,2,Pre-strike: For every spell card used this turn give one random enemy -2/0 and a random ally 0/+2,,
Zoologist,Paradise Harbor,Rare,Unit,4,3,4,Turn start: Give Roughrock ally +1/+1 and zen ally +1/+1,,
Navigation Supply,Paradise Harbor,Common,Spell,4,-,-,"Turn End: Summon two 0/2 Supply Barrels, restore 5 Health.",,
Harbour Blacksmith,Paradise Harbor,Common,Unit,4,1,5,Turn end: Give this unit and another random ally +1/+0,,
Lightning Sorcerer,Paradise Harbor,Common,Unit,4,2,1,Debut: Deal 1 damage to 2 random enemies.,,
"Burian, Iron Roar",Paradise Harbor,Legendary,Unit,5,5,5,"Armor 1
 Turn end: Increase this Unit's Defense to 5.",,
"Leira, Raging Flame",Paradise Harbor,Legendary,Unit,5,3,3,"Debut: Add two Leira's Fire Missles to your hand. 
Turn end: Add Leira's Fire Missile to your hand.",,
Disarm & Counter,Paradise Harbor,Epic,Spell,5,-,-,"Give all enemies -2/-0/
 Give all allies +2/+0.",,
Vast Conspiracy,Paradise Harbor,Epic,Spell,5,-,-,Turn end: Destroy all units.,,
Blackgold Trickster,Paradise Harbor,Epic,Unit,5,3,3,"Pre-strike: Give a random enemy -1/-0.
Pre-strike: If you have more allies than enemies, return an enemy to their owner's hand. ",,
Forge Master,Paradise Harbor,Epic,Unit,5,3,6,Turn end: Give this un and another random ally +1/+1.,,
Red-suited Dwarf,Paradise Harbor,Epic,Unit,5,3,5,"Debut: Deal 3 crash damage to area in opposite row
 Turn end: Return this unit to owner's",,
Solar Archmage,Paradise Harbor,Epic,Unit,5,2,5,"Turn start: Give a random Empire ally +1/+3,
 Give a random Roughrock ally +2/+1.",,
Black Fleet Gunner,Paradise Harbor,Rare,Unit,5,4,3,"Pre-strike:if your health is higher than opponent's,deal 1 damage to two random enemy units",,
Blackgold Hangman,Paradise Harbor,Rare,Unit,5,5,3,For every ally on the board: Reduce the cost of this card by 1.,,
Blade Hunter,Paradise Harbor,Rare,Unit,5,3,2,When this unit attacks the enemy: Deal 5 damage to a random enemy.,,
Chained Beast,Paradise Harbor,Rare,Unit,5,6,6,"Defender, Arnor 2
 When gets injuried: lose Defender",,
Deadly Scarecrow,Paradise Harbor,Rare,Unit,5,0,2,"Turn start:if the first enemy in target row just entered, destroy it",,
Snake Charmer,Paradise Harbor,Rare,Unit,5,0,3,Turn start: Summon a 1/1 Allopatric viper on a random adjacent square.,,
Sorcery Trap,Paradise Harbor,Common,Spell,5,-,-,Deal 4 damage to Enemy Player and the Enemy just enter on target area,,
Blackgold Corrupter,Paradise Harbor,Common,Unit,5,1,4,Debut: Return a random enemy to its owner's hand.,,
Dire Hound Guardian,Paradise Harbor,Common,Unit,5,4,4,Debut: Summon a 0/1 Dog on a random adjacent square.,,
Plated Axeman,Paradise Harbor,Common,Unit,5,4,3,"Armor 1
 (Reduce physical damage to this unit by 1.)",,
Skynet,Paradise Harbor,Epic,Spell,6,-,-,"Deal 1 damage to all Enemies, and they can't Strike in this turn.",,
Black Fleet Captain,Paradise Harbor,Epic,Unit,6,2,5,"Turn start:absorb 2 health from your opponent. Pre-strike:if your health is higher than opponent's, absorb 2 attack from an enemy",,
Draught Elephant,Paradise Harbor,Rare,Unit,6,4,4,"Debut: Restore 4 Health, draw a card.
 Any Roughrock ally on the board reduces that card's cost by 1.",,
Mountain Axeman,Paradise Harbor,Rare,Unit,6,0,8,Turn End: Deal 6 Crash damage to a random enemy area in the opposite row.,,
Roaring Tide,Paradise Harbor,Common,Spell,6,-,-,Deal 2 damage to all Enemies.,,
Blackgold Hammer,Paradise Harbor,Common,Unit,6,4,4,"Pre-strike: If there are more allies than enemies deployed, gain +1/+1.",,
"Meson, The Third",Paradise Harbor,Legendary,Unit,7,4,5,Pre-strike: Destroy the first enemy in the opposing row.,,
Mad Kiko,Paradise Harbor,Epic,Unit,7,5,5,Decrease opponent's Mana limit by 3.,,
Bewitching Shadow,Paradise Harbor,Epic,Unit,7,3,2,Debut: Move the first enemy in the opposing row to your hand.,,
Furious Bull,Paradise Harbor,Rare,Unit,7,4,6,Debut: add three Aggressive Buffalo to your hand,,
Treasure Cruiser,Paradise Harbor,Rare,Unit,7,3,5,"Hit player: Restore 6 Health, draw a card.",,
Blackgold Dynamiter,Paradise Harbor,Common,Unit,7,3,6,Debut: Summon a 0/2 Exploding Barrel in the same column.,,
Chained Behemoth,Paradise Harbor,Epic,Unit,8,10,10,"Defender, Armor 4, Trample
 When gets injuried: lose defender.",,
